GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
KwetterBackend_Maxime,dao,TweetDAOCollection,54,49,14,6,15,17,12,6,2,6
KwetterBackend_Maxime,dao,UserDAOCollection,82,81,24,10,28,24,22,9,6,8
KwetterBackend_Maxime,boundary.rest,UserResource,118,0,0,0,16,0,14,0,14,0
KwetterBackend_Maxime,boundary.rest,TweetResource,53,0,0,0,11,0,8,0,8,0
KwetterBackend_Maxime,util,init,594,0,0,0,87,0,4,0,4,0
KwetterBackend_Maxime,service,UserService,72,0,0,0,14,0,14,0,14,0
KwetterBackend_Maxime,service,TweetService,38,0,0,0,8,0,8,0,8,0
KwetterBackend_Maxime,domain,UserRole,39,0,0,0,4,0,2,0,2,0
KwetterBackend_Maxime,domain,Tweet,2,155,1,1,1,38,1,16,0,16
KwetterBackend_Maxime,domain,User,77,258,3,1,14,69,6,27,4,27
KwetterBackend_Maxime,domain,TweetDTO,38,0,0,0,10,0,2,0,2,0
KwetterBackend_Maxime,domain,UserDTO,82,0,0,0,20,0,3,0,3,0
